Order ID,Date,Region,Sales Channel,Customer Type,Product Category,Product,Salesperson,Quantity,Unit Price,Discount,Revenue
ORD-1001,1/9/2026,West,Online,New,Accessories,Mouse Pad,Sofia Tan,4,13.1,0%,52.38
ORD-1002,3/17/2026,East,Retail Store,Returning,Storage,Memory Card 256GB,Nora Chen,3,81,3%,235.71
ORD-1003,6/10/2026,West,Online,New,Networking,Ethernet Cable,Ben Ho,2,17.46,0%,34.92
ORD-1004,8/26/2026,North,Retail Store,New,Networking,Wi-Fi Router,Aisha Lim,6,252,5%,1436.4
ORD-1005,8/23/2026,North,Corporate Sales,Returning,Networking,Mesh Wi-Fi Set,Aisha Lim,7,654.75,5%,4354.09
ORD-1006,12/3/2026,North,Online,Returning,Storage,External HDD 2TB,Daniel Wong,2,288,5%,547.2
ORD-1007,8/9/2026,West,Marketplace,Returning,Accessories,Wireless Mouse,Priya Shah,3,41.31,0%,123.93
ORD-1008,11/11/2026,North,Retail Store,Returning,Storage,External HDD 2TB,Daniel Wong,2,288,15%,489.6
ORD-1009,4/19/2026,East,Retail Store,Returning,Networking,Mesh Wi-Fi Set,Nora Chen,2,715.5,0%,1431
ORD-1010,6/3/2026,Central,Retail Store,New,Computers,Gaming Laptop,Chloe Lim,5,3780,10%,17010
ORD-1011,4/9/2026,West,Retail Store,New,Storage,External SSD 1TB,Priya Shah,3,405,5%,1154.25
ORD-1012,9/11/2026,Central,Corporate Sales,Returning,Computers,Desktop Mini,Kevin Yap,2,1620,15%,2754
ORD-1013,12/30/2026,East,Online,New,Accessories,Laptop Stand,Grace Ng,2,34.2,5%,64.98
ORD-1014,3/12/2026,West,Marketplace,Returning,Monitors,27-inch Monitor,Sofia Tan,3,765,20%,1836
ORD-1015,4/28/2026,East,Marketplace,Returning,Storage,External HDD 2TB,Amir Hassan,3,288,10%,777.6
ORD-1016,6/17/2026,East,Online,New,Accessories,Webcam,Grace Ng,4,72,0%,288
ORD-1017,8/9/2026,North,Online,New,Monitors,Ultrawide Monitor,Daniel Wong,2,1431,0%,2862
ORD-1018,8/8/2026,Central,Marketplace,New,Accessories,USB-C Hub,Kevin Yap,3,50.49,8%,139.35
ORD-1019,1/21/2026,Central,Online,Returning,Computers,Laptop Pro 14,Chloe Lim,2,2880,5%,5472
ORD-1020,9/6/2026,East,Marketplace,New,Office Supplies,Sticky Notes,Nora Chen,2,6.98,20%,11.17
ORD-1021,12/30/2026,West,Online,Returning,Monitors,Portable Monitor,Ben Ho,2,598.5,0%,1197
ORD-1022,4/26/2026,Central,Online,Returning,Storage,Memory Card 256GB,Chloe Lim,2,81,3%,157.14
ORD-1023,8/18/2026,North,Online,New,Monitors,27-inch Monitor,Mei Tan,5,726.75,0%,3633.75
ORD-1024,3/1/2026,West,Online,New,Office Supplies,Pen Pack,Priya Shah,4,10.26,3%,39.81
ORD-1025,11/8/2026,Central,Online,Returning,Accessories,USB-C Hub,Hafiz Rahman,5,49.5,3%,240.08
ORD-1026,12/30/2026,North,Retail Store,Returning,Networking,Wi-Fi Router,Aisha Lim,4,252,3%,977.76
ORD-1027,11/29/2026,South,Online,Returning,Monitors,Ultrawide Monitor,Jason Lee,3,1282.5,8%,3539.7
ORD-1028,5/2/2026,South,Marketplace,Returning,Accessories,Laptop Stand,Jason Lee,5,34.2,3%,165.87
ORD-1029,11/17/2026,East,Marketplace,Returning,Accessories,USB-C Hub,Nora Chen,2,49.5,5%,94.05
ORD-1030,9/9/2026,North,Retail Store,Returning,Monitors,24-inch Monitor,Mei Tan,5,506.34,8%,2329.16
ORD-1031,7/27/2026,South,Retail Store,Returning,Accessories,Laptop Stand,Raj Kumar,7,32.49,3%,220.61
ORD-1032,12/9/2026,Central,Marketplace,Returning,Storage,External HDD 2TB,Chloe Lim,6,288,20%,1382.4
ORD-1033,1/11/2026,North,Marketplace,Returning,Computers,Laptop Air 13,Aisha Lim,2,2250,10%,4050
ORD-1034,11/28/2026,East,Online,Returning,Computers,Laptop Air 13,Amir Hassan,2,2250,5%,4275
ORD-1035,3/4/2026,Central,Online,Returning,Computers,All-in-One PC,Hafiz Rahman,4,2754,0%,11016
ORD-1036,3/31/2026,Central,Online,Returning,Computers,Desktop Mini,Hafiz Rahman,2,1684.8,5%,3201.12
ORD-1037,7/11/2026,South,Corporate Sales,New,Networking,Mesh Wi-Fi Set,Farah Ali,7,688.5,20%,3855.6
ORD-1038,8/22/2026,Central,Corporate Sales,New,Computers,Gaming Laptop,Chloe Lim,2,3855.6,5%,7325.64
ORD-1039,3/22/2026,Central,Corporate Sales,Returning,Monitors,Ultrawide Monitor,Hafiz Rahman,3,1404,0%,4212
ORD-1040,3/26/2026,East,Corporate Sales,Returning,Monitors,27-inch Monitor,Grace Ng,4,810.9,20%,2594.88
ORD-1041,3/3/2026,South,Corporate Sales,Returning,Computers,Laptop Air 13,Raj Kumar,2,2250,3%,4365
ORD-1042,1/16/2026,East,Corporate Sales,Returning,Networking,Mesh Wi-Fi Set,Grace Ng,8,702,5%,5335.2
ORD-1043,9/29/2026,West,Corporate Sales,New,Monitors,27-inch Monitor,Sofia Tan,2,810.9,5%,1540.71
ORD-1044,6/26/2026,East,Retail Store,Returning,Computers,Gaming Laptop,Nora Chen,3,3931.2,8%,10850.11
ORD-1045,10/16/2026,East,Corporate Sales,Returning,Computers,All-in-One PC,Nora Chen,2,2862,5%,5437.8
ORD-1046,8/9/2026,South,Online,Returning,Accessories,Keyboard,Raj Kumar,5,60.84,8%,279.86
ORD-1047,11/6/2026,East,Retail Store,New,Monitors,24-inch Monitor,Amir Hassan,2,542.88,20%,868.61
ORD-1048,10/28/2026,Central,Marketplace,Returning,Storage,External HDD 2TB,Chloe Lim,2,305.28,5%,580.03
ORD-1049,6/22/2026,West,Retail Store,New,Monitors,27-inch Monitor,Priya Shah,5,726.75,10%,3270.38
ORD-1050,1/21/2026,East,Marketplace,New,Accessories,Laptop Stand,Amir Hassan,3,34.2,5%,97.47
ORD-1051,4/27/2026,East,Marketplace,Returning,Storage,External SSD 1TB,Grace Ng,2,413.1,0%,826.2
ORD-1052,1/1/2026,Central,Online,New,Accessories,Keyboard,Chloe Lim,4,62.01,5%,235.64
ORD-1053,9/6/2026,West,Online,Returning,Storage,External SSD 1TB,Sofia Tan,8,405,3%,3142.8
ORD-1054,12/19/2026,West,Marketplace,Returning,Storage,External SSD 1TB,Priya Shah,2,405,15%,688.5
ORD-1055,4/8/2026,Central,Retail Store,New,Monitors,Ultrawide Monitor,Hafiz Rahman,3,1309.5,3%,3810.65
ORD-1056,4/11/2026,East,Online,Returning,Monitors,27-inch Monitor,Grace Ng,2,795.6,8%,1463.9
ORD-1057,4/26/2026,Central,Corporate Sales,Returning,Office Supplies,Sticky Notes,Chloe Lim,6,7.2,5%,41.04
ORD-1058,4/15/2026,South,Retail Store,Returning,Computers,Laptop Pro 14,Raj Kumar,3,3052.8,3%,8883.65
ORD-1059,9/5/2026,South,Marketplace,Returning,Accessories,Wireless Mouse,Farah Ali,2,40.5,10%,72.9
ORD-1060,8/7/2026,West,Corporate Sales,Returning,Office Supplies,Notebook Set,Ben Ho,5,22.5,10%,101.25
ORD-1061,12/9/2026,East,Retail Store,Returning,Office Supplies,Desk Organizer,Amir Hassan,5,32.13,3%,155.83
ORD-1062,3/24/2026,North,Online,Returning,Storage,External HDD 2TB,Daniel Wong,2,288,5%,547.2
ORD-1063,8/25/2026,East,Online,New,Accessories,Keyboard,Grace Ng,2,59.67,0%,119.34
